iter	Passed	Remaining
343	5776	11015
344	5791	10994
345	5806	10975
346	5821	10955
347	5837	10936
348	5853	10918
349	5868	10898
350	5884	10880
351	5901	10863
352	5919	10850
353	5935	10832
354	5953	10816
355	5969	10797
356	5986	10781
357	6002	10764
358	6020	10749
359	6037	10732
360	6053	10714
361	6069	10697
362	6085	10679
363	6101	10660
364	6118	10644
365	6137	10631
366	6154	10615
367	6170	10598
368	6187	10580
369	6203	10563
370	6220	10545
371	6235	10527
372	6252	10509
373	6268	10492
374	6285	10475
375	6301	10457
376	6318	10441
377	6334	10424
378	6352	10408
379	6367	10389
380	6383	10370
381	6398	10351
382	6412	10331
383	6429	10314
384	6445	10295
385	6461	10277
386	6477	10259
387	6492	10240
388	6508	10222
389	6524	10205
390	6540	10187
391	6557	10171
392	6574	10154
393	6589	10135
394	6605	10117
395	6621	10099
396	6636	10080
397	6652	10062
398	6667	10042
399	6682	10023
400	6697	10004
401	6712	9985
402	6728	9967
403	6744	9950
404	6760	9932
405	6778	9917
406	6795	9900
407	6812	9884
408	6829	9868
409	6846	9852
410	6862	9835
411	6879	9817
412	6895	9800
413	6911	9783
414	6928	9766
415	6945	9750
416	6961	9732
417	6977	9715
418	6994	9698
419	7009	9679
420	7024	9660
421	7039	9641
422	7054	9622
423	7070	9604
424	7084	9585
425	7099	9566
426	7115	9548
427	7131	9530
428	7147	9513
429	7163	9495
430	7178	9476
431	7194	9459
432	7213	9445
433	7230	9429
434	7246	9412
435	7264	9396
436	7281	9380
437	7298	9364
438	7315	9348
439	7332	9331
440	7348	9314
441	7366	9300
442	7383	9283
443	7400	9266
444	7418	9251
445	7435	9236
446	7451	9219
447	7469	9203
448	7487	9188
449	7503	9171
450	7520	9155
451	7537	9138
452	7553	9120
453	7570	9104
454	7587	9088
455	7604	9072
456	7621	9055
457	7639	9040
458	7654	9022
459	7671	9005
460	7688	8989
461	7704	8971
462	7720	8954
463	7735	8936
464	7752	8919
465	7768	8901
466	7784	8885
467	7800	8867
468	7816	8849
469	7833	8833
470	7849	8816
471	7865	8799
472	7881	8781
473	7897	8764
474	7913	8746
475	7928	8728
476	7944	8710
477	7960	8693
478	7976	8675
479	7992	8658
480	8008	8640
481	8024	8624
482	8042	8609
483	8059	8592
484	8076	8576
485	8093	8559
486	8109	8542
487	8125	8525
488	8142	8508
489	8158	8491
490	8175	8474
491	8191	8458
492	8208	8441
493	8224	8424
494	8241	8407
495	8259	8392
496	8275	8375
497	8291	8358
498	8308	8341
499	8323	8323
500	8338	8304
501	8353	8286
502	8368	8268
503	8383	8250
504	8400	8234
505	8414	8215
506	8430	8198
507	8446	8180
508	8462	8163
509	8479	8147
510	8495	8130
511	8510	8111
512	8525	8093
513	8539	8074
514	8554	8056
515	8570	8039
516	8585	8021
517	8601	8003
518	8617	7986
519	8632	7968
520	8648	7950
521	8663	7933
522	8681	7918
523	8697	7900
524	8713	7883
525	8729	7866
526	8744	7848
527	8760	7831
528	8775	7813
529	8791	7795
530	8807	7778
531	8822	7761
532	8839	7744
533	8854	7727
534	8870	7710
535	8885	7691
536	8901	7675
537	8918	7658
538	8935	7642
539	8952	7625
540	8968	7609
541	8983	7591
542	8998	7573
543	9012	7554
544	9028	7537
545	9043	7519
546	9058	7501
547	9073	7483
548	9093	7470
549	9124	7465
550	9145	7452
551	9166	7439
552	9182	7422
553	9198	7405
554	9215	7388
555	9235	7374
556	9253	7359
557	9272	7344
558	9290	7329
559	9307	7313
560	9325	7297
561	9342	7281
562	9358	7264
563	9375	7247
564	9393	7231
565	9410	7215
566	9426	7198
567	9443	7182
568	9460	7166
569	9476	7149
570	9493	7132
571	9512	7117
572	9531	7102
573	9549	7087
574	9566	7071
575	9585	7055
576	9602	7039
577	9620	7024
578	9638	7007
579	9655	6991
580	9671	6975
581	9688	6958
582	9705	6941
583	9722	6925
584	9741	6910
585	9760	6895
586	9776	6878
587	9793	6862
588	9813	6847
589	9832	6832
590	9850	6817
591	9869	6801
592	9886	6785
593	9903	6769
594	9921	6753
595	9938	6736
596	9956	6721
597	9975	6705
598	9992	6689
599	10010	6673
600	10029	6658
601	10047	6642
602	10065	6626
603	10082	6610
604	10101	6594
605	10118	6578
606	10136	6562
607	10153	6546
608	10177	6534
609	10198	6520
610	10216	6504
611	10234	6488
612	10254	6473
613	10272	6457
614	10289	6441
615	10307	6425
616	10326	6409
617	10344	6394
618	10362	6377
619	10382	6363
620	10400	6347
621	10418	6331
622	10435	6315
623	10454	6299
624	10473	6284
625	10492	6268
626	10511	6253
627	10529	6237
628	10547	6220
629	10563	6204
630	10582	6188
631	10602	6173
632	10620	6157
633	10639	6142
634	10657	6126
635	10675	6109
636	10692	6093
637	10711	6077
638	10729	6061
639	10747	6045
640	10765	6029
641	10784	6013
642	10805	5999
643	10824	5983
644	10842	5967
645	10860	5951
646	10877	5934
647	10897	5919
648	10914	5902
649	10932	5886
650	10949	5870
651	10967	5854
652	10985	5837
653	11004	5821
654	11022	5805
655	11039	5788
656	11055	5771
657	11071	5754
658	11089	5738
659	11105	5720
660	11122	5704
661	11139	5687
662	11154	5669
663	11172	5653
664	11189	5636
665	11207	5620
666	11224	5603
667	11242	5587
668	11260	5571
669	11278	5555
670	11295	5538
671	11312	5521
672	11328	5504
673	11344	5487
674	11361	5470
675	11378	5453
676	11394	5436
677	11411	5419
678	11428	5402
679	11445	5385
680	11460	5368
681	11476	5351
682	11492	5333
683	11507	5316
684	11523	5299
685	11539	5281
686	11554	5264
687	11569	5246
688	11583	5228
689	11597	5210
690	11609	5191
691	11625	5174
692	11643	5157
693	11658	5140
694	11673	5122
695	11688	5105
696	11703	5087
697	11719	5070
698	11734	5053
699	11750	5036
700	11764	5018
701	11779	5000
702	11794	4982
703	11809	4965
704	11825	4948
705	11840	4930
706	11857	4914
707	11874	4897
708	11888	4879
709	11904	4862
710	11918	4844
711	11934	4827
712	11950	4810
713	11966	4793
714	11982	4776
715	11999	4759
716	12016	4742
717	12031	4725
718	12049	4709
719	12070	4694
720	12088	4677
721	12106	4661
722	12124	4645
723	12141	4628
724	12157	4611
725	12173	4594
726	12190	4577
727	12205	4560
728	12220	4543
729	12237	4526
730	12252	4508
731	12269	4492
732	12288	4476
733	12304	4459
734	12320	4441
735	12336	4425
736	12352	4407
737	12367	4390
738	12383	4373
739	12398	4356
740	12413	4338
741	12429	4321
742	12444	4304
743	12460	4287
744	12477	4270
745	12496	4254
746	12513	4238
747	12529	4221
748	12544	4203
749	12560	4186
750	12576	4169
751	12595	4153
752	12612	4137
753	12629	4120
754	12647	4104
755	12666	4088
756	12685	4072
757	12704	4056
758	12723	4040
759	12741	4023
760	12758	4007
761	12776	3990
762	12793	3973
763	12810	3957
764	12827	3940
765	12845	3924
766	12862	3907
767	12880	3890
768	12898	3874
769	12917	3858
770	12934	3841
771	12952	3825
772	12969	3808
773	12987	3792
774	13004	3775
775	13020	3758
776	13035	3741
777	13051	3724
778	13067	3707
779	13084	3690
780	13101	3673
781	13119	3657
782	13136	3640
783	13151	3623
784	13167	3606
785	13183	3589
786	13200	3572
787	13217	3555
788	13233	3538
789	13250	3522
790	13266	3505
791	13284	3488
792	13299	3471
793	13316	3454
794	13334	3438
795	13352	3421
796	13368	3404
797	13384	3387
798	13400	3371
799	13417	3354
800	13434	3337
801	13451	3320
802	13469	3304
803	13486	3287
804	13505	3271
805	13522	3254
806	13540	3238
807	13558	3221
808	13575	3205
809	13593	3188
810	13612	3172
811	13629	3155
812	13646	3138
813	13664	3122
814	13682	3105
815	13699	3089
816	13716	3072
817	13734	3055
818	13753	3039
819	13771	3022
820	13787	3006
821	13804	2989
822	13820	2972
823	13837	2955
824	13855	2938
825	13874	2922
826	13892	2906
827	13910	2889
828	13929	2873
829	13947	2856
830	13968	2840
831	13987	2824
832	14006	2807
833	14025	2791
834	14043	2775
835	14061	2758
836	14080	2742
837	14100	2725
838	14117	2709
839	14135	2692
840	14153	2675
841	14170	2659
842	14188	2642
843	14208	2626
844	14225	2609
845	14242	2592
846	14259	2575
847	14276	2559
848	14294	2542
849	14313	2525
850	14331	2509
851	14350	2492
852	14370	2476
853	14389	2460
854	14408	2443
855	14427	2426
856	14444	2410
857	14461	2393
858	14480	2376
859	14500	2360
860	14519	2344
861	14538	2327
862	14556	2310
863	14574	2294
864	14591	2277
865	14609	2260
866	14628	2244
867	14647	2227
868	14666	2210
869	14683	2194
870	14701	2177
871	14719	2160
872	14737	2143
873	14755	2127
874	14772	2110
875	14790	2093
876	14807	2076
877	14824	2059
878	14842	2043
879	14859	2026
880	14878	2009
881	14894	1992
882	14911	1975
883	14927	1958
884	14944	1941
885	14961	1925
886	14979	1908
887	14995	1891
888	15011	1874
889	15029	1857
890	15046	1840
891	15062	1823
892	15079	1806
893	15094	1789
894	15110	1772
895	15126	1755
896	15142	1738
897	15158	1721
898	15173	1704
899	15191	1687
900	15208	1671
901	15225	1654
902	15244	1637
903	15262	1620
904	15280	1604
905	15298	1587
906	15317	1570
907	15335	1553
908	15353	1537
909	15370	1520
910	15388	1503
911	15406	1486
912	15424	1469
913	15443	1453
914	15462	1436
915	15480	1419
916	15498	1402
917	15518	1386
918	15536	1369
919	15553	1352
920	15571	1335
921	15587	1318
922	15605	1301
923	15622	1284
924	15638	1268
925	15656	1251
926	15676	1234
927	15694	1217
928	15713	1200
929	15730	1184
930	15748	1167
931	15766	1150
932	15784	1133
933	15803	1116
934	15821	1099
935	15840	1083
936	15858	1066
937	15876	1049
938	15897	1032
939	15916	1015
940	15933	999
941	15952	982
942	15969	965
943	15987	948
944	16005	931
945	16022	914
946	16041	897
947	16060	880
948	16078	864
949	16097	847
950	16115	830
951	16132	813
952	16149	796
953	16166	779
954	16184	762
955	16201	745
956	16218	728
957	16235	711
958	16252	694
959	16269	677
960	16287	660
961	16306	644
962	16326	627
963	16344	610
964	16362	593
965	16380	576
966	16398	559
967	16416	542
968	16433	525
969	16451	508
970	16468	491
971	16486	474
972	16505	458
973	16523	441
974	16543	424
975	16561	407
976	16577	390
977	16594	373
978	16611	356
979	16627	339
980	16645	322
981	16662	305
982	16677	288
983	16697	271
984	16715	254
985	16733	237
986	16750	220
987	16770	203
988	16786	186
989	16802	169
990	16819	152
991	16835	135
992	16853	118
993	16869	101
994	16886	84
995	16901	67
996	16917	50
997	16933	33
998	16950	16
999	16968	0
