iter	Logloss
0	0.6012596635
1	0.5012515708
2	0.4471106306
3	0.4090832271
4	0.3702710357
5	0.3428904427
6	0.3146463369
7	0.2942205152
8	0.2754338664
9	0.2600681346
10	0.2474680981
11	0.234989121
12	0.2214312363
13	0.2108734837
14	0.2057103293
15	0.2009431976
16	0.1950909132
17	0.1906944246
18	0.1844346076
19	0.1803825981
20	0.1772834557
21	0.1744905662
22	0.1711220851
23	0.168219162
24	0.166112788
25	0.1640807429
26	0.1600223986
27	0.1584699211
28	0.1570230269
29	0.1554489868
30	0.152702968
31	0.1509984713
32	0.1494676229
33	0.1485165717
34	0.1472547982
35	0.1463083544
36	0.1454377817
37	0.1427369749
38	0.1415626711
39	0.1402958992
40	0.1395839752
41	0.1388646192
42	0.1377822485
43	0.1366097516
44	0.1349193632
45	0.134084546
46	0.13340725
47	0.1323948867
48	0.131669165
49	0.130596557
50	0.1291614701
51	0.1271700251
52	0.1266253048
53	0.1261468182
54	0.1254916574
55	0.1249166181
56	0.1235471612
57	0.1225877799
58	0.12211567
59	0.1216819952
60	0.1212352594
61	0.1209428109
62	0.1205536419
63	0.1201704524
64	0.1186613954
65	0.1181755932
66	0.1177498918
67	0.1168559098
68	0.116085035
69	0.1146260967
70	0.114354913
71	0.1140151278
72	0.1138987035
73	0.113441641
74	0.1130890389
75	0.11280993
76	0.1124419537
77	0.1121244748
78	0.1117348754
79	0.1106589249
80	0.1102963851
81	0.1099929387
82	0.1097850204
83	0.1091830886
84	0.1088913163
85	0.1081810327
86	0.1078886282
87	0.1076417066
88	0.1070712323
89	0.1068812691
90	0.1064150908
91	0.1058582696
92	0.1057086694
93	0.1054651815
94	0.1053101462
95	0.1050137487
96	0.1045137449
97	0.104259342
98	0.1037737688
99	0.1033806979
100	0.1030384547
101	0.1028319883
102	0.1026058504
103	0.1024194822
104	0.102214366
105	0.1020526796
106	0.1018471918
107	0.1016027024
108	0.1010176784
109	0.1007318291
110	0.1005687337
111	0.1003431632
112	0.100215356
113	0.1001402628
114	0.09967441751
115	0.09934636039
116	0.09919455373
117	0.09914665548
118	0.09895316687
119	0.09883406894
120	0.09860366663
121	0.09840664273
122	0.09817561769
123	0.09799150774
124	0.09775261897
125	0.09753567404
126	0.0974580316
127	0.09708401379
128	0.0967022742
129	0.09650756629
130	0.09615669609
131	0.09577273571
132	0.09566425416
133	0.09551375529
134	0.09542898701
135	0.09526162647
136	0.09495250986
137	0.09482954253
138	0.09468902666
139	0.09418857204
140	0.0940950175
141	0.09385785747
142	0.09369238454
143	0.09347886486
144	0.09339844049
145	0.09310065562
146	0.09294087682
147	0.09278863803
148	0.09268423959
149	0.09246067104
150	0.0920610214
151	0.09195462744
152	0.09186633733
153	0.09170555085
154	0.09160662979
155	0.09133146717
156	0.09122306975
157	0.09111416623
158	0.09105752075
159	0.09087060665
160	0.09079853985
161	0.09051094864
162	0.09041926205
163	0.09032416741
164	0.09027145718
165	0.09020265149
166	0.09013937412
167	0.09005290284
168	0.09002627244
169	0.0899351593
170	0.08970861483
171	0.08963146894
172	0.08947635689
173	0.08938207448
174	0.08929884879
175	0.08922734937
176	0.08912738799
177	0.08903282344
178	0.08885334771
179	0.08871002586
180	0.08863456116
181	0.08855055823
182	0.08846055777
183	0.08808937723
184	0.08801289179
185	0.08797355883
186	0.08784311576
187	0.0877604915
188	0.08767541131
189	0.08755645082
190	0.08746202298
191	0.08733317534
192	0.08725438733
193	0.08710645526
